,LipSync,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,,,,,,,,,,,,,,,,,
,TLV493D,Adafruit TLV493D Triple-Axis Magnetometer - STEMMA QT / Qwiic,,Adafruit,Mouser,485-4366,1,1,1, $8.63 , $8.63 , $8.63 ,,https://www.mouser.ca/ProductDetail/Adafruit/4366?qs=Cb2nCFKsA8rqS%252BdmeewMYw%3D%3D,,,,,,,,,,,,,,,,,,
,LPS33HW,Adafruit LPS33HW Water Resistant Pressure Sensor - STEMMA QT,,Adafruit,Mouser,485-4414,1,1,1, $18.13 , $18.13 , $18.13 ,,https://www.mouser.ca/ProductDetail/Adafruit/4414?qs=xZ%2FP%252Ba9zWqbFiAS6M6RHZw%3D%3D,,,,,,,,,,,,,,,,,,
,LPS22,Adafruit LPS22 Pressure Sensor - STEMMA QT / Qwiic - LPS22HB,,Adafruit,Mouser,485-4633,1,1,1, $10.08 , $10.08 , $10.08 ,,https://www.mouser.ca/ProductDetail/Adafruit/4633?qs=W%2FMpXkg%252BdQ4ebNdNVsYA5Q%3D%3D,,,,,,,,,,,,,,,,,,
CBL-QWIIC-100,QWIIC-100,Qwiic JST SH 4-pin Cable - 100mm  ,,Adafruit,Mouser,485-4210,1,1,1, $1.38 , $1.38 , $1.38 ,,https://www.mouser.ca/ProductDetail/Adafruit/4210?qs=PzGy0jfpSMuCfezrcTX9rQ%3D%3D ,,,,,,,,,,,,,,,,,,
CBL-QWIIC-50,QWIIC-50,Qwiic JST SH 4-pin Cable - 50mm  ,,Adafruit,Mouser,485-4399,1,1,1, $1.38 , $1.38 , $1.38 ,,https://www.mouser.ca/ProductDetail/Adafruit/4399?qs=xZ%2FP%252Ba9zWqZ%2FTpT35o5XxA%3D%3D ,,,,,,,,,,,,,,,,,,
CBL-QWIIC-50,QWIIC-50,Qwiic JST SH 4-pin Cable - 50mm  ,,SparkFun Electronics,PiShop,,1,1,1, $1.95 , $1.95 , $1.95 ,,https://www.pishop.ca/product/stemma-qt-qwiic-jst-sh-4-pin-cable-50mm-long/ ,,,,,,,,,,,,,,,,,,
,C1 Capacitor,10 µF Ceramic Capacitor ,,TDK Corporation,Digikey,445-181284-1-ND,1,1,1, $0.72 , $0.72 , $0.72 ,,https://www.digikey.ca/en/products/detail/tdk-corporation/FG28X5R1E106MRT06/10185405 ,,,,,,,,,,,,,,,,,,
,RJ11 Breakout board,RJ11 Breakout,,SparkFun Electronics,Mouser,474-BOB-14021,1,1,1, $2.83 , $2.83 , $2.83 ,,https://www.mouser.ca/ProductDetail/SparkFun/BOB-14021?qs=FNcb6ahWXRxYfdHxmKm33A%3D%3D,,,,,,,,,,,,,,,,,,
,RJ11 Jack,"Jack Modular Connector 6p6c (RJ11, RJ12, RJ14, RJ25) 90° Angle (Right) Unshielded Cat3",,TE Connectivity AMP Connectors,Mouser,571-5555165-1,2,1,2, $1.46 , $2.92 , $2.92 ,,https://www.mouser.ca/ProductDetail/TE-Connectivity-AMP/5555165-1?qs=BcfjnG7NVaWb2UIqidZ6Zg%3D%3D,,,,,,,,,,,,,,,,,,
,RJ11 cable,"Modular Cable Plug to Plug 6p6c (RJ11, RJ12, RJ14, RJ25) 7.00' (2.13m) Unshielded",,Amphenol Cables on Demand,Mouser,MP-5FRJ11STWS-007,1,1,1, $5.34 , $5.34 , $5.34 ,,https://www.mouser.ca/ProductDetail/Amphenol-Cables-on-Demand/MP-5FRJ11STWS-007?qs=H5r6JxgcqAhybXCGFpSfXQ%3D%3D ,,,,,,,,,,,,,,,,,,
,RJ11 cable,"Modular Cable Plug to Plug 6p6c (RJ11, RJ12, RJ14, RJ25) 7.00' (2.13m) Unshielded",,CNC Tech,Digikey,1175-2331-ND,1,1,1, $6.40 , $6.40 , $6.40 ,,,,,,,,,,,,,,,,,,,,
,Mono switch jacks,Mono switch jacks,,CUI Devices,Mouser,490-SJ1-3535NG,3,1,3, $2.31 , $6.93 , $6.93 ,,https://www.mouser.ca/ProductDetail/CUI-Devices/SJ1-3535NG?qs=WyjlAZoYn50jUmKVsqeRJw%3D%3D,,,,,,,,,,,,,,,,,,
,5MM Red LED,Diffused 5MM Round T/H Red LED,,Kingbright ,Digikey,754-1732-ND,2,1,2, $0.89 , $1.78 , $1.78 ,,https://www.digikey.ca/en/products/detail/kingbright/WP7113ID5V/3084220 ,,,,,,,,,,,,,,,,,,
,Xiao nRF52840,Microcontroller ,Hub,Seeed Studio,Mouser,,1,1,1, $0.89 , $0.89 , $0.89 ,,https://www.mouser.ca/ProductDetail/Seeed-Studio/102010448?qs=Znm5pLBrcAJ5g%252BWAkitg4w%3D%3D,,,,,,,,,,,,,,,,,,
,M2.5 Bolt,M2.5 Bolt,Hub + Joystick,Essentra,Mouser,144-50M025045K008,6,1,6, $0.09 , $0.01 , $0.52 ,,https://www.mouser.ca/ProductDetail/Essentra/50M025045K008?qs=PzGy0jfpSMt5PUju15hdzg%3D%3D,,,,,,,,,,,,,,,,,,
,M2.5 Nut,M2.5 Nut,Hub + Joystick,Essentra,Digikey,RPC7085-ND,6,1,6, $0.20 , $0.03 , $1.20 ,,https://www.digikey.ca/en/products/detail/essentra-components/04M025045HN/9677099,,,,,,,,,,,,,,,,,,
,Buzzer,Piezo Buzzer,Hub,TDK Corporation,Digikey,445-2525-1-ND,1,1,1, $0.96 , $0.96 , $0.96 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouser Shipping,,,,Mouser,,1,1,1, $20.00 , $20.00 , $20.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U2,TLV493D,Adafruit TLV493D Triple-Axis Magnetometer - STEMMA QT / Qwiic,Joystick,Adafruit,Adafruit,4366,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4366,,,,,,,,,,,,,,,,,,
U3,LPS33HW,Adafruit LPS33HW Water Resistant Pressure Sensor - STEMMA QT,Joystick,Adafruit,Adafruit,4414,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4414,,,,,,,,,,,,,,,,,,
U4,LPS22,Adafruit LPS22 Pressure Sensor - STEMMA QT / Qwiic - LPS22HB,Joystick,Adafruit,Adafruit,4633,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4633,,,,,,,,,,,,,,,,,,
CBL-QWIIC-50,QWIIC-50,Qwiic JST SH 4-pin Cable - 50mm  ,,Adafruit,Adafruit,4399,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4399,,,,,,,,,,,,,,,,,,
CBL-QWIIC-100,QWIIC-100,Qwiic JST SH 4-pin Cable - 100mm  ,,Adafruit,Adafruit,4210,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4210,,,,,,,,,,,,,,,,,,
CBL-QWIIC-150,QWIIC-150-Male,Qwiic JST SH 4-pin Cable  to Dupont - 150mm  ,,Adafruit,Adafruit,4209,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/4209,,,,,,,,,,,,,,,,,,
DISP,LCD feedback screen,"Monochrome 1.3"" 128x64 OLED graphic display - STEMMA QT / Qwiic",Hub,Adafruit,Digikey,938,1,1,1,, $-   , $-   ,,https://www.adafruit.com/product/938#technical-details,,,,,,,,,,,,,,,,,,
,Tactile Switch,"Tactile Switch Buttons (12mm square, 6mm tall)",Hub,Adafruit,Adafruit,1119,2,10,1,, $-   , $-   ,,https://www.adafruit.com/product/1119,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, $-   , $-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCB2,RJ11 Breakout board,RJ11 Breakout,Joystick,SparkFun Electronics,SparkFun,,1,2,1,, $-   , $-   ,,https://www.sparkfun.com/products/14021,,,,,,,,,,,,,,,,,,
